xc,yc,width_mid_x,width_mid_y,height_mid_x,height_mid_y,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,xc_velocity,yc_velocity,width_velocity,height_velocity
223,264,223.5,370,134,264.0,0.0487153309572757,-0.042210107641258,-0.0046027955630518,-120.74934595246235,-75.46834122028896,15.093668244057794,11.543899248013417
215,259,215.5,366,126,259.5,0.042347382321902,-0.0359549540434992,-0.0021256116343357,-103.81389954563937,-44.491671233845445,29.661114155896964,13.277957674379747
196,249,196.5,357,107,249.0,0.0325328501159524,-0.0279934847150493,-0.0019433638786584,-75.36690637140228,-75.36690637140228,-15.073381274280456,-21.22360138026557
191,244,191.0,352,102,244.5,0.0273429322671227,-0.0255815964790028,-0.0041003898887077,-60.53085493274843,-60.53085493274843,-60.53085493274843,-46.44692851059393
187,240,187.0,346,98,240.5,0.0237301448858128,-0.0216286646961817,-0.0006763780344465,-59.179309906948255,-44.38448243021119,0.0,9.5553950062042
183,237,183.5,343,94,237.5,0.0201328525684285,-0.0176556454135406,-0.00109681320297,-44.39716742467815,-14.79905580822605,0.0,-9.558125918589491
180,236,180.0,342,91,236.5,0.017050628011993,-0.0159980074971896,-0.0022384707605545,-30.611894274735374,-15.305947137367687,15.305947137367687,11.710553578380962
178,235,178.0,341,89,235.0,0.0119559685737831,-0.0111925824644176,-0.0022758998023096,-30.245348870749115,-15.122674435374558,0.0,0.0
176,234,176.0,340,87,234.0,0.0064677757007408,-0.0074577011628527,-1.644238863943109e-05,-14.97933615708235,-14.97933615708235,0.0,0.0
175,233,175.0,339,86,233.0,0.0015405838271333,-0.0026026207289763,-0.0006895529139804,0.0,-15.038953588434413,15.038953588434413,11.528740865731784
175,232,175.0,339,86,232.5,-0.0005061504089323,0.0009958645049639,0.0038627685061875,0.0,14.83921457633116,0.0,0.0
175,233,175.0,340,86,233.5,0.0002214452970195,-0.0001246742014577,0.0057897013484114,0.0,15.237054528281327,-15.237054528281327,-11.680603452933951
175,234,175.0,340,86,234.0,-0.0014655887100327,0.0017705171663344,0.0106654843402309,0.0,14.887672594327903,0.0,0.0
175,235,175.0,341,86,235.0,-0.0045064792809224,0.0037391853395555,0.0148205283404133,15.126219404443784,30.252438808887568,0.0,-9.71043935934337
176,237,176.5,343,88,237.0,-0.0043466654732469,0.001425355516571,0.0159173102313749,14.85098397456327,14.85098397456327,-29.70196794912654,-32.31082148452096
177,238,177.0,343,89,238.0,-0.0054823803330049,0.0037598088807574,0.0226529670666997,15.037120424479266,30.07424084895853,-30.07424084895853,-32.70105208775589
178,240,178.5,344,91,240.0,-0.006045873939012,0.0029627659114245,0.0214460435804199,15.091550207970537,30.183100415941073,0.0,0.0
179,242,179.5,346,92,242.0,-0.0059281622693094,0.0032782274355647,0.0247834843101688,30.016774969226837,45.02516245384025,-15.008387484613419,-21.14630605331632
184,254,184.5,358,99,254.0,-0.0073872048730311,0.0041069088212957,0.0367219620772905,29.871513373192403,104.5502968061734,74.678783432981,48.62886013352793
