xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y
40,137,108,223,100.30484646876603,0.0,60,247,-13,147,-33,38,7,257,74,18,114,238
317,364,111,183,76.11533231474182,0.4480000138282776,295,453,263,351,285,262,241,440,393,289,349,467
40,137,111,222,100.90502204523445,0.0,61,246,-13,148,-34,39,7,257,73,18,116,236
314,369,109,202,74.59657503753037,0.4350000321865082,287,467,262,355,289,258,235,452,394,287,340,482
41,137,109,224,100.8082309403198,0.0,62,247,-12,148,-33,38,9,258,72,17,116,237
41,136,109,218,100.58732131823713,0.0,61,243,-12,146,-33,39,8,254,74,18,115,233
40,136,109,221,100.90502204523445,0.0,61,245,-13,147,-34,39,8,256,72,17,115,234
304,359,113,193,71.18811069748085,0.4490000307559967,273,450,251,340,282,249,220,432,389,286,327,469
40,138,110,221,101.41098312676539,0.0,62,247,-13,149,-34,40,8,258,73,19,116,236
297,362,122,193,73.64418289898275,0.4520000219345093,270,454,239,344,266,252,212,437,384,287,329,472
38,137,114,209,96.581944655178,0.0,50,241,-19,144,-31,40,-7,248,83,26,107,234
38,138,115,210,95.98059952476345,0.0,49,243,-19,145,-30,41,-8,249,84,28,107,237
279,360,123,192,67.97694450318875,0.4650000333786011,243,449,222,337,258,248,186,426,373,294,301,472
38,139,117,208,96.581944655178,0.0,50,243,-20,146,-32,43,-8,250,84,29,109,236
276,366,129,198,73.5778125016847,0.4480000138282776,248,461,214,348,243,253,186,443,367,290,310,480
40,142,138,216,104.42077312751098,0.0,67,247,-27,160,-54,55,0,265,80,20,134,230
262,366,130,199,71.38430799266897,0.4570000171661377,230,461,200,345,232,251,168,440,356,293,292,482
38,141,129,208,101.09372301155784,0.0,58,243,-25,154,-46,52,-5,256,82,26,122,231
274,362,129,180,83.6598082540901,0.4580000340938568,264,452,210,356,220,267,200,445,348,280,329,459
38,145,143,212,104.1670555226312,0.0,64,248,-30,163,-56,60,-5,266,82,25,134,231
266,356,128,180,77.81634341401261,0.4650000333786011,247,444,203,342,223,254,184,431,348,282,310,458
36,146,129,208,99.91275144672383,0.0,54,249,-27,157,-45,55,-10,260,83,33,118,239
41,150,144,203,106.10130239915841,0.0,69,247,-28,170,-57,73,0,268,82,32,139,227
244,365,139,200,70.84438755456033,0.4620000123977661,211,460,178,342,211,248,145,437,343,294,277,483
248,365,140,211,70.01689347810002,0.4620000123977661,212,464,182,341,219,242,146,440,351,291,278,489
254,366,118,188,71.37213682354495,0.45500001311302185,224,455,198,347,229,258,168,436,341,297,280,475
44,146,114,198,96.3401917459099,0.0,55,245,-12,152,-23,54,-2,251,91,42,112,239
41,148,119,203,96.77565616939901,0.0,53,249,-18,156,-31,55,-6,257,88,40,113,242
40,149,121,206,97.81529354676688,4.964000225067139,54,251,-20,157,-34,55,-6,260,86,38,114,243
264,380,119,214,68.69421638217123,0.4180000126361847,225,480,208,359,247,259,170,459,358,302,281,502
38,147,120,208,98.28579702395375,0.0,53,250,-21,156,-36,53,-6,259,83,35,113,241
269,376,117,210,70.20112364547508,0.4270000159740448,233,476,213,356,249,257,178,456,361,298,289,496
37,148,122,210,97.59464336859143,0.0,51,253,-23,156,-37,52,-9,261,85,36,112,245
36,147,124,210,98.20721641191815,0.0,51,251,-25,156,-40,52,-10,260,83,34,113,242
35,148,121,209,97.59464336859143,0.0,49,253,-24,156,-38,52,-11,261,83,37,109,245
34,148,123,210,98.20721641191815,0.0,49,252,-26,157,-41,54,-12,261,80,36,110,244
34,149,123,211,97.59464336859143,5.261000156402588,48,254,-26,157,-40,52,-13,262,82,36,109,246
33,149,123,211,98.13010235415598,0.0,48,254,-27,158,-42,53,-13,263,80,36,109,245
33,147,124,208,98.28579702395375,0.0,48,250,-28,156,-43,53,-13,259,80,35,110,241
34,148,126,211,97.66680426181418,0.0,48,252,-28,156,-42,52,-14,261,82,35,111,244
34,146,123,207,98.28579702395375,0.0,49,249,-27,155,-42,53,-12,258,81,35,110,240
34,147,124,210,97.05784664988107,0.0,47,252,-27,156,-41,52,-14,260,82,35,109,244
